model,module,type,immutable,persistence,key_fields
CreateDocumentCommand,command_models.py,command,yes,no,"workspace_reference, actor_user_id"
PromoteDraftCommand,command_models.py,command,yes,no,"workspace_reference, actor_user_id"
MarkReadyCommand,command_models.py,command,yes,no,"actor_user_id, reason"
ReturnToDraftCommand,command_models.py,command,yes,no,"actor_user_id, reason"
SignDocumentCommand,command_models.py,command,yes,no,"actor_user_id, signed_at"
RegisterDocumentCommand,command_models.py,command,yes,no,"actor_user_id, registration_number"
CancelDocumentCommand,command_models.py,command,yes,no,"actor_user_id, reason_code, reason_text"
AnnulDocumentCommand,command_models.py,command,yes,no,"actor_user_id, reason_code, reason_text"
ArchiveDocumentCommand,command_models.py,command,yes,no,"actor_user_id, reason_code, reason_text"
RestoreDocumentCommand,command_models.py,command,yes,no,"actor_user_id, reason"
DocumentAggregate,aggregate_models.py,aggregate,yes,no,"document_id, lifecycle_state, archive_state, metadata, locale_blocks"
AggregateMetadata,aggregate_models.py,nested,yes,no,"order_type_code, order_number, workspace_reference"
LifecycleMutationPlan,command_results.py,plan,yes,no,"command_name, is_allowed, from/to states, events"
CreateResult,command_results.py,result,yes,no,"is_allowed, aggregate, mutation_plan, events"
PromotionResult,command_results.py,result,yes,no,"is_allowed, aggregate, mutation_plan, events"
RegistrationResult,command_results.py,result,yes,no,"is_allowed, mutation_plan, registration_number"
WriteEvaluation,command_results.py,result,yes,no,"is_allowed, command_name, mutation_plan, events"
