item_type_code,semantic_family,corpus_signal_items,corpus_signal_docs,required_params,optional_params,allowed_party_types,allowed_managed_objects,deadline_models,expected_result_pattern,ru_pattern_template,kk_pattern_template,constraints,example_anonymized
DIRECT,Направление / проведение действия,5+24*,33,action;managed_object;responsible_party,conditions;deadline;purpose,NamedPerson;PositionRole;OrganizationalUnit,employees;processes;events,period_range;calendar_date;exact_date,conduct_action,"[Направить] [должность/ФИО] в [место] [даты] для [цель].","[Жіберу] [лауазым/А.А.] [қала] [күндер] [мақсат].",Primary intent направить; часто несколько сотрудников = несколько пунктов,"Направить [должность] в [город] [даты] для участия в [мероприятие]."
ASSIGN,Назначение ответственности,9,25,responsible_party;managed_object,deadline;scope,PositionRole;NamedPerson,processes;employees;equipment,permanent;from_signature,duty_assigned,"[Назначить] [должность/ФИО] ответственным за [объект].","[Тағайындау] [лауазым] [объект] бойынша жауапты.",Не смешивать с CONTROL; должность предпочтительнее ФИО для постоянных обязанностей,"Назначить [должность] ответственным за [функция] на [период]."
APPROVE,Утверждение документа / плана / состава,30,51,approved_object;approving_authority,attachment_ref;effective_date,PositionRole;Signatory,documents;plans;commissions;property,from_signature;unspecified,document_approved,"[Утвердить] [документ/план/состав] (согласно приложению N).","[Бекіту] [құжат/жоспар/құрам] (N-қосымшаға сәйкес).",Часто ссылается на приложение; approver может быть директор через подпись,"Утвердить график [процесс] согласно приложению 1."
CREATE_BODY,Создание комиссии / органа,43,57,body_kind;subject;composition,chair;members;secretary;term,Commission;PositionRole,commissions;processes,permanent;unspecified,create_object,"[Создать] [вид] комиссию по [предмет].","[Құру] [комиссия] [предмет] бойынша.",DEFINE_COMPOSITION — sub-render внутри пункта; не отдельный top-level type в большинстве случаев,"Создать комиссию по [предмет] в следующем составе: …"
DEFINE_COMPOSITION,Состав органа (sub-render),35,57,roles;members,attachment_ref,Commission;NamedPerson;PositionRole,commissions,unspecified,create_object,"Председатель: [должность]. Члены: [список].","Төраға: [лауазым]. Мүшелері: [тізім].",Генерируется как часть CREATE_BODY; отдельный пункт только при изменении состава,"Председатель комиссии: [должность] – [инициалы]."
ORGANIZE,Организация мероприятия / процесса,6+30*,46,responsible_party;managed_object,deadline;conditions;co_executors,PositionRole;OrganizationalUnit,processes;events,calendar_date;period_range,service_organized,"[Организовать] [мероприятие/процесс] [условие].","[Ұйымдастыру] [іс-шара/процесс] [шарт].",S_CLINICAL: параллельные пункты по подразделениям,"Заведующему [отделение] организовать [мероприятие] [дата]."
ENSURE,Обеспечение ресурса / режима,2+32*,47,responsible_party;managed_object,deadline;conditions,PositionRole;OrganizationalUnit,processes;resources;employees,permanent;calendar_date,maintain_regime,"[Обеспечить] [объект/режим] [условие].","[Қамтамасыз ету] [объект/режим] [шарт].",Часто без явного срока; expected result implicit,"Обеспечить [режим работы] в период [даты]."
ESTABLISH,Установление правил / режима,4+11*,20,managed_object;rule_content,responsible_party;sub_items,PositionRole;OrganizationalUnit,processes;equipment;documents,permanent;from_signature,state_change,"[Установить/Ввести] [режим/перечень/порядок].","[Енгізу/Бекіту] [режим/тізім/тәртіп].",Может порождать подпункты 1.1–1.n без отдельных intents,"Ввести три вида пропуска: 1.1 … 1.2 …"
AUTHORIZE,Разрешение / запрет,4,6,responsible_party;authorized_action,conditions;deadline,PositionRole;OrganizationalUnit,equipment;processes,permanent;unspecified,state_change,"[Разрешить/Запретить] [действие] [условие].","[Рұқсат/Тыйым] [әрекет] [шарт].",S_TRANSPORT; редкий тип,"Разрешить [категория] доступ к [объект]."
FUND,Финансирование / расходы,46,33,funding_source;beneficiary_or_purpose,amount;deadline,NamedPerson;OrganizationalUnit,finances;employees,unspecified;until_event,funds_transferred,"[Расходы/Средства] за счёт [источник]. / [Перечислить] [сумма].","[Шығын/Қаражат] [көз] есебінен.",S_TRAVEL: типичный пункт 2; не добавлять автоматически если источник неизвестен,"Расходы по командировке за счёт [источник]."
REPORT,Представление отчёта / информации,8,30,responsible_party;report_kind,deadline;evidence,PositionRole;NamedPerson,documents;finances,until_event;within_duration,provide_report,"[Представить] [отчёт/акт/информацию] [срок].","[Ұсыну] [есеп/акт/ақпарат] [мерзім].",Не генерировать evidence если меняет смысл решения,"По окончании [мероприятия] представить авансовый отчёт."
ACKNOWLEDGE,Ознакомление,25,25,responsible_party;subject_person,deadline;evidence,OrganizationalUnit;PositionRole,employees,within_duration;from_acknowledgement,acknowledgement,"[Ознакомить] [субъект] с [документом] [срок].","[Таныстыру] [субъект] [құжат] [мерзім].",S_DISCIPLINE; отдельный пункт с evidence,"В течение 3 рабочих дней ознакомить [сотрудника] с приказом."
DELEGATE,Возложение обязанности,70*,81,responsible_party;duty,deadline;scope,PositionRole;OrganizationalUnit,processes;control,permanent;unspecified,duty_assigned,"[Возложить] на [должность] [обязанность].","[Жүктеу] [лауазым] [міндет].",Отличать от CONTROL; «ответственность возложить» — blended,"Возложить на [должность] обязанность по [функция]."
CONTROL,Контроль исполнения (meta),323,168,controller;scope,reporting_requirement,PositionRole;Signatory,control,unspecified,state_change,"Контроль за исполнением [возложить на / оставляю за собой] [должность].","[Бақылау] [лауазым] [жүктелсін / өзіме қалдырамын].",Meta-item; auto-generatable; editable; обычно последний или предпоследний,"Контроль за исполнением настоящего приказа возложить на [должность]."
META_EFFECT,Вступление в силу / отмена,124+1,60+,effect_trigger,,Signatory,documents,from_signature;exact_date,document_effect,"Приказ вступает в силу [со дня подписания / с даты].","Бұйрық [күннен] күшіне енеді.",Не execution obligation; document lifecycle,"Приказ вступает в силу со дня подписания."
REPEAL_AMEND,Изменение / отмена prior act,2,4,target_document;amendment_kind,,Signatory,documents,from_signature,document_effect,"[Признать утратившим силу / Внести изменения] [документ].","[Күшін жою / Өзгерістер енгізу] [құжат].",Редко в корпусе; normative need,"Признать утратившим силу [приказ №]."
