scenario_code,domain,order_type,business_intent,managed_object,execution_unit,primary_responsible_party,co_executors,controller,deadline_type,deadline_expression,recurrence,expected_result,execution_evidence,dependencies,commission_involved,attachment_driven,control_scope,docs_in_corpus,notes
S_ACCOUNTING,FINANCE,accounting_procedure,утвердить,имущество,order_item,role_chief_accountant,commission,role_chief_accountant,none,none,none,act_inventory,act_report,commission_then_control,yes,sometimes,order,18,
S_CLINICAL,CLINICAL,clinical_operations,организовать,процессы,order_item,role_head_of_unit,co_units,role_deputy_director,calendar_date,event_period,none,service_organized,implicit,parallel_items,no,rare,item_or_order,35,
S_COMMISSION,ORGANIZATION,commission_create,создать,комиссии,order_item+inline_roster,role_position,commission_members,role_chief_accountant,none,none,none,commission_constituted,ack_signatures,item1_then_control,yes,sometimes,order,28,
S_COMPLIANCE,GOVERNANCE,compliance_program,утвердить,процессы,order_item,role_compliance,units,director_self,permanent,ongoing,none,program_active,implicit,cascade,no,no,order,1,
S_CONFERENCE,ORGANIZATION,conference_support,организовать,мероприятия,order_item,role_organizer,co_units,director_self,calendar_date,conference_dates,none,participation_arranged,financial_report,parallel,no,no,order,3,
S_DISCIPLINE,HR_OPERATIONS,disciplinary_action,назначить,сотрудники,order_item,named_employee,managers,multi_controller,within_n_days,3_working_days,none,sanction_applied,ack_list,sequential_awareness,no,no,item,6,
S_DRILL,SAFETY,emergency_drill,провести,мероприятия,order_item,role_ahc,units,role_deputy,calendar_date,drill_date,none,drill_completed,act_protocol,parallel,no,no,order,2,
S_EPID,SAFETY,infection_control,утвердить,процессы,order_item,role_infection_control,units,role_deputy_director,permanent,ongoing_regime,none,regime_maintained,implicit,parallel,no,no,order,11,
S_EVENT,ORGANIZATION,institutional_event,организовать,мероприятия,order_item,role_heads,co_units,role_deputy,calendar_date,event_date,none,event_held,implicit,parallel,no,no,item,3,
S_FUNDS,FINANCE,funds_allocation,обеспечить,финансы,order_item,named_or_role,finance_unit,director_self,until_event,after_event_report,none,funds_transferred,advance_report,item1_then_report,no,no,item,3,
S_GENERAL,ADMINISTRATIVE,operational_directive,делегировать,процессы,order_item,unknown,none,unknown,no_deadline,none,none,unknown,unknown,unknown,unknown,unknown,unknown,1,
S_PAID_SERVICES,FINANCE,paid_services,утвердить,услуги,order_item,role_finance,units,role_finance_head,monthly,billing_period,monthly,tariff_applied,accounting_doc,sequential,no,sometimes,order,10,
S_PHARMA,CLINICAL,pharmaceutical_control,установить,процессы,order_item,role_pharmacy,units,role_deputy_director,permanent,ongoing,none,regime_maintained,inventory_records,cascade,sometimes,inline_tables,order,5,
S_PLAN,FINANCE,economic_plan,утвердить,планы,order_item,role_economy,units,role_economy_deputy,annual,plan_year,yearly,plan_approved,signed_plan,legal_basis,no,yes,order,2,
S_PROCUREMENT,GOVERNANCE,procurement_procedure,утвердить,закупки,order_item,role_procurement,commission,role_economy_deputy,until_event,procedure_timeline,none,procurement_conducted,protocol,legal_basis_first,sometimes,yes,order,8,
S_RADIATION,SAFETY,radiation_safety,создать,комиссии,order_item,role_vcро,commission,role_vcro_head,permanent,ongoing,none,inspection_act,act,commission_items,yes,no,order,1,
S_REGULATION,GOVERNANCE,document_approval,утвердить,документы,order_item,role_owner,none,role_director,from_signature,effective_on_sign,none,document_approved,signed_order,preamble_law,no,yes_attachment,order,5,
S_RESPONSIBILITY,ORGANIZATION,responsibility_assignment,назначить,процессы,order_item,role_or_named,none,role_supervisor,permanent,ongoing_duty,none,duty_assigned,implicit,parallel,no,no,item,5,
S_TRAINING,DEVELOPMENT,training_assignment,направить,сотрудники,order_item,named_or_role,none,director_self,calendar_date,training_dates,none,attendance,list_training,parallel,no,no,order,10,
S_TRANSPORT,SAFETY,transport_access,установить,оборудование,order_item,role_ahc,drivers,role_ahc_head,permanent,ongoing,none,access_regime,log_book,hierarchical_subitems,no,no,order,3,
S_TRAVEL,OPERATIONS,business_travel,направить,сотрудники,order_item,role_head_hr,none,director_self,period_range,travel_dates,none,travel_completed,memo_application,parallel_items,no,no,order,33,
