scenario_code,domain,docs_in_corpus,corpus_share_pct,required_blocks,recommended_item_count_min,recommended_item_count_max,item_sequence_pattern,preamble_required,preamble_basis_types,commission_required,attachment_required,control_meta_item,control_default,typical_deadline,typical_expected_result,typical_evidence,allowed_variations,generation_notes
S_TRAVEL,OPERATIONS,33,17.1,header;preamble_or_trailing_basis;order_formula;items;signature,4,7,"1_direct|2_fund|3_salary_preserve|4_control|5_effective[+trailing_basis]",conditional,application;legal_chain;purpose,no,no,yes,director_self,period_range,travel_completed,memo_application,"bilingual_mirror;named_or_role_executor;expense_source_variants","P0; verified 5-item template; item1 may split per employee"
S_COMMISSION,ORGANIZATION,28,14.5,header;preamble;order_formula;items;signature,2,4,"1_create_body[+composition]|2_control[+optional_effective]",yes,legal_chain;production_need,yes,optional,yes,role_chief_accountant,unspecified,commission_constituted,ack_signatures,"inline_roster;attachment_roster;secretary_optional","P0; composition usually inline; attachment when roster large"
S_CLINICAL,CLINICAL,35,18.1,header;preamble;order_formula;items;signature,3,15,"parallel_organize/ensure per unit|control|effective",yes,purpose;protocol;production_need,no,rare,yes,role_deputy_director,calendar_date,service_organized,implicit,"multi_unit_parallel;sub_numbering;event_specific","P0; one item per responsible unit common"
S_ACCOUNTING,FINANCE,18,9.3,header;preamble;order_formula;items;signature,3,10,"1_create_or_approve|commission_tasks|control|effective",yes,legal_chain;memo,yes,sometimes,yes,role_chief_accountant,unspecified,act_inventory,act_report,"inventory_commission;monthly_OPPV;asset_writeoff","P0; commission + act pattern"
S_EPID,SAFETY,11,5.7,header;preamble;order_formula;items;signature,4,12,regime_items|control|effective,yes,legal_chain;external_order,no,no,yes,role_deputy_director,permanent,regime_maintained,implicit,regulatory_density,"P1; often permanent regime without calendar deadline"
S_TRAINING,DEVELOPMENT,10,5.2,header;preamble;order_formula;items;signature,3,8,"1_direct per trainee|conditions|control|effective",yes,legal_chain;purpose,no,sometimes,yes,director_self,calendar_date,attendance,list_training,"list_in_attachment;multi_employee","P1; parallel items for multiple trainees"
S_PAID_SERVICES,FINANCE,10,5.2,header;preamble;order_formula;items;signature,3,8,approve_tariff|assign_responsible|control|effective,yes,legal_chain,no,sometimes,yes,role_finance_head,monthly,tariff_applied,accounting_doc,recurring_billing,"P1; monthly deadline pattern"
S_PROCUREMENT,GOVERNANCE,8,4.1,header;preamble;order_formula;items;signature,4,15,approve_procedure|commission|control|effective,yes,legal_chain;external_order,sometimes,yes,yes,role_economy_deputy,until_event,procurement_conducted,protocol,attachment_driven,"P1; legal basis heavy"
S_DISCIPLINE,HR_OPERATIONS,6,3.1,header;preamble;order_formula;items;signature;acknowledgement,4,8,"1_sanction|embedded_control|directional_control|acknowledge",yes,protocol;memo,no,no,multi,role_head+deputy,within_n_days,sanction_applied,ack_list,multi_controller,"P1; control embedded not only meta"
S_PHARMA,CLINICAL,5,2.6,header;preamble;order_formula;items;signature,4,30,establish_regime|assign|control|effective,yes,legal_chain,sometimes,inline_tables,yes,role_deputy_director,permanent,regime_maintained,inventory_records,mega_order,"P2; high item density possible"
S_REGULATION,GOVERNANCE,5,2.6,header;preamble;order_formula;items;signature,2,6,"1_approve_attachment|ensure|control|effective",yes,legal_chain,no,yes,yes,role_director,from_signature,document_approved,signed_order,attachment_required,"P2; attachment is primary content"
S_RESPONSIBILITY,ORGANIZATION,5,2.6,header;order_formula;items;signature,2,5,"1_assign|control|effective",optional,production_need,no,no,yes,role_supervisor,permanent,duty_assigned,implicit,short_orders,"P2; preamble sometimes omitted"
S_FUNDS,FINANCE,3,1.6,header;preamble;order_formula;items;signature,3,6,"1_transfer|2_report|control|effective",yes,application;memo,no,no,yes,director_self,until_event,funds_transferred,advance_report,sequential_dependency,"P2; report item depends on event"
S_EVENT,ORGANIZATION,3,1.6,header;preamble;order_formula;items;signature,5,20,parallel_organize|control|effective,yes,purpose,no,no,yes,role_deputy,calendar_date,event_held,implicit,high_item_count,"P2; holiday mode orders"
S_CONFERENCE,ORGANIZATION,3,1.6,header;preamble;order_formula;items;signature,4,8,organize|fund|control|effective,yes,memo,no,no,yes,director_self,calendar_date,participation_arranged,financial_report,parallel,"P2; combines ORGANIZE + FUND"
S_TRANSPORT,SAFETY,3,1.6,header;preamble;order_formula;items;signature,4,20,establish|authorize|control|effective,yes,legal_chain,no,no,yes,role_ahc_head,permanent,access_regime,log_book,sub_numbering,"P2; hierarchical sub-items"
S_DRILL,SAFETY,2,1.0,header;preamble;order_formula;items;signature,5,26,organize_drill|assign|control|effective,yes,legal_chain,no,no,yes,role_deputy,calendar_date,drill_completed,act_protocol,complex_plan,"P2; long item lists possible"
S_PLAN,FINANCE,2,1.0,header;preamble;order_formula;items;signature,2,30,approve_plan|control|effective,yes,legal_chain,no,yes,yes,role_economy_deputy,annual,plan_approved,signed_plan,attachment,"P2; plan in attachment"
S_RADIATION,SAFETY,1,0.5,header;preamble;order_formula;items;signature,3,8,create_commission|control|effective,yes,legal_chain,yes,no,yes,role_vcro_head,permanent,inspection_act,act,commission,"P2; single doc"
S_COMPLIANCE,GOVERNANCE,1,0.5,header;preamble;order_formula;items;signature,10,20,cascade_items|control|effective,yes,legal_chain,no,no,yes,director_self,permanent,program_active,implicit,cascade,"P2; single doc"
S_GENERAL,ADMINISTRATIVE,1,0.5,header;order_formula;items;signature,1,10,manual,yes,unknown,no,no,optional,unknown,no_deadline,unknown,unknown,manual_only,"Requires human classification"
