field_or_artifact,DRAFT,READY_FOR_SIGNATURE,SIGNED,REGISTERED,VOIDED,ARCHIVED
document_metadata,editable,conditionally_editable,conditionally_editable,immutable,immutable,immutable
semantic_model,editable,immutable,immutable,immutable,immutable,immutable
generated_text,editable,immutable,immutable,immutable,immutable,immutable
effective_text,editable,immutable,immutable,immutable,immutable,immutable
locale_representation,editable,immutable,immutable,immutable,immutable,immutable
order_items,editable,immutable,immutable,immutable,immutable,immutable
attachments,editable,conditionally_editable,immutable,immutable,immutable,immutable
signer_identity,derived_pending,derived_pending,immutable,immutable,immutable,immutable
registration_number,absent,absent,absent,immutable,retained_immutable,immutable
registration_date,absent,absent,absent,immutable,retained_immutable,immutable
archive_state,editable_ACTIVE,editable_ACTIVE,editable_ACTIVE,editable_ACTIVE,editable_ACTIVE,immutable_ARCHIVED
lifecycle_audit,append_only,append_only,append_only,append_only,append_only,append_only
validation_result,derived_refreshable,derived_refreshable,derived_frozen,derived_frozen,derived_frozen,derived_frozen
execution_projection,absent,absent,absent,derived_emitted,voided_or_compensated,unchanged
signed_snapshot,absent,pending,immutable,immutable,immutable_preserved,immutable
baseline_version,mutable,mutable,pinned_at_sign,pinned_at_sign,pinned_at_void,pinned
void_kind,absent,absent,absent,absent,immutable,immutable
void_reason,absent,absent,absent,absent,immutable,immutable
pdf_artifact,derived_regenerable,derived_regenerable,derived_from_snapshot,derived_from_snapshot,derived_from_snapshot,view_only
